homeassistant/components/device_tracker/legacy.py  [21 edits, last: 2020-04-03]
homeassistant/components/hangouts/hangouts_bot.py  [21 edits, last: 2020-04-08]
homeassistant/components/knx/light.py  [21 edits, last: 2020-09-21]
homeassistant/components/modbus/switch.py  [21 edits, last: 2020-09-23]
homeassistant/components/mqtt/camera.py  [21 edits, last: 2020-09-02]
homeassistant/components/mqtt/lock.py  [21 edits, last: 2020-09-10]
homeassistant/components/ring/binary_sensor.py  [21 edits, last: 2020-09-12]
homeassistant/components/upnp/config_flow.py  [21 edits, last: 2020-08-27]
homeassistant/util/yaml/loader.py  [21 edits, last: 2020-08-28]
homeassistant/auth/mfa_modules/totp.py  [20 edits, last: 2020-06-06]
homeassistant/components/airvisual/__init__.py  [20 edits, last: 2020-09-09]
homeassistant/components/auth/login_flow.py  [20 edits, last: 2020-09-15]
homeassistant/components/axis/config_flow.py  [20 edits, last: 2020-06-01]
homeassistant/components/bluesound/media_player.py  [20 edits, last: 2020-04-25]
homeassistant/components/broadlink/switch.py  [20 edits, last: 2020-08-20]
homeassistant/components/config/zwave.py  [20 edits, last: 2020-09-15]
homeassistant/components/device_automation/__init__.py  [20 edits, last: 2020-08-28]
homeassistant/components/fibaro/__init__.py  [20 edits, last: 2020-09-06]
homeassistant/components/geofency/__init__.py  [20 edits, last: 2020-08-29]
homeassistant/components/heos/__init__.py  [20 edits, last: 2020-08-28]
homeassistant/components/homekit_controller/light.py  [20 edits, last: 2020-04-26]
homeassistant/components/ifttt/__init__.py  [20 edits, last: 2020-08-29]
homeassistant/components/isy994/binary_sensor.py  [20 edits, last: 2020-09-08]
homeassistant/components/isy994/const.py  [20 edits, last: 2020-09-23]
homeassistant/components/mobile_app/helpers.py  [20 edits, last: 2020-09-23]
homeassistant/components/mqtt/sensor.py  [20 edits, last: 2020-09-10]
homeassistant/components/mqtt/switch.py  [20 edits, last: 2020-09-10]
homeassistant/components/plant/__init__.py  [20 edits, last: 2020-09-23]
homeassistant/components/template/sensor.py  [20 edits, last: 2020-09-01]
homeassistant/components/template/switch.py  [20 edits, last: 2020-09-01]
homeassistant/components/toon/climate.py  [20 edits, last: 2020-06-22]
homeassistant/components/upnp/device.py  [20 edits, last: 2020-08-05]
homeassistant/components/venstar/climate.py  [20 edits, last: 2020-04-25]
homeassistant/components/wunderground/sensor.py  [20 edits, last: 2020-09-22]
homeassistant/components/xiaomi_miio/light.py  [20 edits, last: 2020-08-31]
homeassistant/components/zha/core/channels/hvac.py  [20 edits, last: 2020-08-27]
homeassistant/components/zha/core/channels/smartenergy.py  [20 edits, last: 2020-09-15]
homeassistant/helpers/config_entry_oauth2_flow.py  [20 edits, last: 2020-09-10]
homeassistant/components/alexa/__init__.py  [19 edits, last: 2020-06-26]
homeassistant/components/august/camera.py  [19 edits, last: 2020-03-09]
homeassistant/components/axis/binary_sensor.py  [19 edits, last: 2020-09-06]
