src/transformers/models/pegasus/configuration_pegasus.py  [5 edits, last: 2021-02-10]
src/transformers/models/reformer/__init__.py  [5 edits, last: 2021-07-08]
src/transformers/models/reformer/convert_reformer_trax_checkpoint_to_pytorch.py  [5 edits, last: 2021-06-14]
src/transformers/models/roberta/tokenization_roberta_fast.py  [5 edits, last: 2021-06-29]
src/transformers/models/roformer/modeling_roformer.py  [5 edits, last: 2021-08-31]
src/transformers/models/t5/convert_t5_original_tf_checkpoint_to_pytorch.py  [5 edits, last: 2021-03-31]
src/transformers/models/t5/modeling_flax_t5.py  [5 edits, last: 2021-08-04]
src/transformers/models/transfo_xl/tokenization_transfo_xl.py  [5 edits, last: 2021-04-26]
src/transformers/models/wav2vec2/modeling_flax_wav2vec2.py  [5 edits, last: 2021-08-30]
src/transformers/models/wav2vec2/processing_wav2vec2.py  [5 edits, last: 2021-05-07]
src/transformers/models/xlm_roberta/__init__.py  [5 edits, last: 2021-07-08]
src/transformers/pipelines/token_classification.py  [5 edits, last: 2021-08-26]
src/transformers/pipelines/zero_shot_classification.py  [5 edits, last: 2021-08-27]
src/transformers/sagemaker/training_args_sm.py  [5 edits, last: 2021-03-31]
src/transformers/dependency_versions_check.py  [4 edits, last: 2021-04-08]
src/transformers/commands/__init__.py  [4 edits, last: 2020-12-07]
src/transformers/commands/lfs.py  [4 edits, last: 2021-05-20]
src/transformers/data/test_generation_utils.py  [4 edits, last: 2021-01-07]
src/transformers/data/processors/__init__.py  [4 edits, last: 2020-12-07]
src/transformers/models/albert/convert_albert_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/bart/convert_bart_original_pytorch_checkpoint_to_pytorch.py  [4 edits, last: 2021-02-01]
src/transformers/models/barthez/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/bert/convert_bert_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/bert/convert_bert_pytorch_checkpoint_to_original_tf.py  [4 edits, last: 2021-03-31]
src/transformers/models/bert/tokenization_bert_fast.py  [4 edits, last: 2021-06-29]
src/transformers/models/bertweet/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/bert_japanese/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/big_bird/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/big_bird/modeling_flax_big_bird.py  [4 edits, last: 2021-08-27]
src/transformers/models/big_bird/tokenization_big_bird_fast.py  [4 edits, last: 2021-07-26]
src/transformers/models/camembert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/clip/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/clip/configuration_clip.py  [4 edits, last: 2021-06-01]
src/transformers/models/clip/modeling_clip.py  [4 edits, last: 2021-07-21]
src/transformers/models/detr/feature_extraction_detr.py  [4 edits, last: 2021-06-29]
src/transformers/models/dialogpt/convert_dialogpt_original_pytorch_checkpoint_to_pytorch.py  [4 edits, last: 2021-01-19]
src/transformers/models/dpr/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/electra/convert_electra_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/flaubert/modeling_flaubert.py  [4 edits, last: 2021-09-01]
src/transformers/models/fsmt/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/gpt2/convert_gpt2_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/herbert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/hubert/__init__.py  [4 edits, last: 2021-08-27]
src/transformers/models/ibert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/lxmert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/lxmert/convert_lxmert_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/marian/convert_marian_tatoeba_to_pytorch.py  [4 edits, last: 2021-01-19]
src/transformers/models/mbart/modeling_flax_mbart.py  [4 edits, last: 2021-08-12]
src/transformers/models/mmbt/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/mobilebert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/mpnet/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/mt5/configuration_mt5.py  [4 edits, last: 2021-06-30]
src/transformers/models/mt5/modeling_mt5.py  [4 edits, last: 2021-02-22]
src/transformers/models/openai/convert_openai_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/openai/tokenization_openai.py  [4 edits, last: 2021-04-26]
src/transformers/models/phobert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/phobert/tokenization_phobert.py  [4 edits, last: 2021-04-26]
src/transformers/models/prophetnet/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/prophetnet/configuration_prophetnet.py  [4 edits, last: 2021-03-04]
src/transformers/models/prophetnet/convert_prophetnet_original_pytorch_checkpoint_to_pytorch.py  [4 edits, last: 2021-06-14]
src/transformers/models/retribert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/retribert/modeling_retribert.py  [4 edits, last: 2021-06-14]
src/transformers/models/roberta/convert_roberta_original_pytorch_checkpoint_to_pytorch.py  [4 edits, last: 2021-01-19]
src/transformers/models/speech_to_text/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/speech_to_text/tokenization_speech_to_text.py  [4 edits, last: 2021-07-21]
src/transformers/models/squeezebert/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/tapas/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/tapas/convert_tapas_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/transfo_xl/convert_transfo_xl_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/vit/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/vit/feature_extraction_vit.py  [4 edits, last: 2021-08-04]
src/transformers/models/xlm/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/xlm/convert_xlm_original_pytorch_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
src/transformers/models/xlnet/__init__.py  [4 edits, last: 2021-07-08]
src/transformers/models/xlnet/convert_xlnet_original_tf_checkpoint_to_pytorch.py  [4 edits, last: 2021-03-31]
