batch,requested_model,task_idx,map_type,rep,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,model
batch2_small_label,mistral/devstral-small-latest,15,none,1,15324,602,0.003353,8,23.23,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,none,2,16218,548,0.003353,8,16.22,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,none,3,15850,495,0.003644,8,22.01,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,15,none,4,22533,651,0.005291,10,23.97,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast_compact,0,216204,1097,0.044688,17,65.34,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast_compact,1,107451,723,0.019402,10,27.4,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast_compact,2,213399,1210,0.019965,17,36.81,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast_compact,3,209293,1014,0.042116,20,55.17,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast_compact,4,41671,765,0.013149,5,30.25,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast,0,149607,767,0.041146,9,33.11,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast,1,208909,1218,0.017065,12,39.65,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast,2,276257,982,0.031961,14,37.72,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast,3,207444,918,0.017242,12,39.83,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,ast,4,368920,1434,0.020394,20,30.45,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,none,0,27725,471,0.0072,12,24.93,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,none,1,21763,301,0.00516,10,12.46,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,none,2,55779,823,0.013878,15,41.08,submitted,1.0,1.0,1.0,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,none,3,61719,917,0.014579,14,48.2,submitted,1.0,0.5,0.6667,devstral-medium-2512
batch2_small_label,mistral/devstral-small-latest,4,none,4,85017,769,0.012761,15,38.15,submitted,1.0,0.5,0.6667,devstral-medium-2512
