model_dir,model_short,model,task_idx,map_type,rep,issue_title,base_commit,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,empty_prediction,n_predicted_files,n_ground_truth_files,model_pair,pair_name,model_size,provider,architecture,task_type,cached_tokens,cost_usd,cost_usd_uncached
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast,1,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,240295,11761,0.043101,13,126.29,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,214289,0.043101,0.043101
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast,2,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,117295,6037,0.021216,6,74.38,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,95831,0.021216,0.021216
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast,3,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,154838,7784,0.027896,8,80.76,end_turn,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,114869,0.027896,0.027896
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,ast,4,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,106002,2084,0.017151,4,25.1,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,50057,0.017151,0.017151
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,none,0,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,46674,5690,0.010415,10,46.04,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,31181,0.010415,0.010415
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,none,1,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,68110,6226,0.013952,10,61.88,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,34310,0.013952,0.013952
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,none,2,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,20471,2552,0.004602,8,24.76,end_turn,0.0,0.0,0.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,14238,0.004602,0.004602
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,none,3,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,29163,5211,0.007501,5,60.59,end_turn,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,17327,0.007501,0.007501
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,14,none,4,Authentication Handlers lost on redirect.,4683f169909857d663275346655975af7190fd62,13902,1667,0.003085,4,19.21,end_turn,0.0,0.0,0.0,True,0,1,2,gpt-oss,large,fireworks,MoE,single_file,3094,0.003085,0.003085
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast_compact,0,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,41846,849,0.006786,5,6.55,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,32559,0.006786,0.006786
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast_compact,1,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,40869,689,0.006544,5,7.58,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,26222,0.006544,0.006544
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast_compact,2,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,124942,2964,0.02052,15,25.29,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,111503,0.02052,0.02052
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast_compact,3,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,103776,2494,0.017063,13,24.55,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,99235,0.017063,0.017063
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast_compact,4,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,112853,3597,0.019086,14,37.66,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,106083,0.019086,0.019086
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast,0,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,63194,248,0.009628,3,4.01,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,46522,0.009628,0.009628
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,15,ast,1,Add header name to InvalidHeader exception message,1c2022cf868cb503815f34901ad8e85cf524d01a,63194,330,0.009677,3,11.17,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,31311,0.009677,0.009677
